movie_title,year,place,star_cast,rating,vote,link
Apocalypse Now,1979,54,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.42579538808678,,/title/tt0078788/
Everything Everywhere All at Once,2022,55,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",8.416967693978005,,/title/tt6710474/
Raiders of the Lost Ark,1981,56,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.412272460242502,,/title/tt0082971/
Django Unchained,2012,57,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.401748073408074,,/title/tt1853728/
WALL·E,2008,58,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.392165600030358,,/title/tt0910970/
The Lives of Others,2006,59,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.386913240100194,,/title/tt0405094/
Sunset Blvd,1950,60,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.383607431256923,,/title/tt0043014/
Paths of Glory,1957,61,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.370789030172235,,/title/tt0050825/
The Shining,1980,62,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.368276436521821,,/title/tt0081505/
The Great Dictator,1940,63,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.366686904852811,,/title/tt0032553/
Witness for the Prosecution,1957,64,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.356336395353587,,/title/tt0051201/
Avengers: Infinity War,2018,65,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.353270990475723,,/title/tt4154756/
Aliens,1986,66,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.344651898685118,,/title/tt0090605/
American Beauty,1999,67,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.33927191234386,,/title/tt0169547/
Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,68,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.33464575738511,,/title/tt0057012/
The Dark Knight Rises,2012,69,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.329324800807878,,/title/tt1345836/
Spider-Man: Into the Spider-Verse,2018,70,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.326631684923097,,/title/tt4633694/
Joker,2019,71,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.320900879870367,,/title/tt7286456/
Oldeuboi,2003,72,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae",8.320082263105201,,/title/tt0364569/
Braveheart,1995,73,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.315771010410833,,/title/tt0112573/
Amadeus,1984,74,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.31526082760535,,/title/tt0086879/
Toy Story,1995,75,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.314232385005901,,/title/tt0114709/
Das Boot,1981,76,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.312121966798337,,/title/tt0082096/
Coco,2017,77,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.312098632520279,,/title/tt2380307/
Inglourious Basterds,2009,78,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.309951872086568,,/title/tt0361748/
Mononoke-hime,1997,79,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.303889508387643,,/title/tt0119698/
Once Upon a Time in America,1984,80,"Sergio Leone (dir.), Robert De Niro, James Woods",8.3025826946598,,/title/tt0087843/
Avengers: Endgame,2019,81,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.299528468146182,,/title/tt4154796/
Good Will Hunting,1997,82,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.285830752414489,,/title/tt0119217/
Requiem for a Dream,2000,83,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.277992588847477,,/title/tt0180093/
Toy Story 3,2010,84,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.277341774158078,,/title/tt0435761/
Singin' in the Rain,1952,85,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.273772617151225,,/title/tt0045152/
Kimi no na wa,2016,86,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.273208126465274,,/title/tt5311514/
Star Wars: Episode VI - Return of the Jedi,1983,87,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.268629594815392,,/title/tt0086190/
3 Idiots,2009,88,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.268202815412485,,/title/tt1187043/
2001: A Space Odyssey,1968,89,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.266629492433763,,/title/tt0062622/
Reservoir Dogs,1992,90,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.26561590716768,,/title/tt0105236/
Eternal Sunshine of the Spotless Mind,2004,91,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.265331639237683,,/title/tt0338013/
Tengoku to jigoku,1963,92,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.261585856530576,,/title/tt0057565/
Citizen Kane,1941,93,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.25916285123537,,/title/tt0033467/
Capharnaüm,2018,94,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.257918083045688,,/title/tt8267604/
Lawrence of Arabia,1962,95,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.25692665110873,,/title/tt0056172/
M - Eine Stadt sucht einen Mörder,1931,96,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.255442616257167,,/title/tt0022100/
Jagten,2012,97,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.254627799406725,,/title/tt2106476/
